DATAFLOW,MEASURE: Measure,INDEX: Index,TYPE: Product Type,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,BASE_PERIOD: Reference Base Period,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,DECIMALS: Decimals
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2013-Q1,109,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2013-Q2,109.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2013-Q3,109.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2013-Q4,110.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2014-Q1,112,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2014-Q2,115.3,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2014-Q3,119.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2014-Q4,118.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2015-Q1,119.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2015-Q2,124,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2015-Q3,124.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2015-Q4,124.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2016-Q1,124.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2016-Q2,126.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2016-Q3,126.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2016-Q4,126.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2017-Q1,126.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2017-Q2,130,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2017-Q3,129.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2017-Q4,129.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2018-Q1,129.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2018-Q2,131,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2018-Q3,132.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2018-Q4,133.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2019-Q1,137.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2019-Q2,143.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2019-Q3,139.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2019-Q4,139.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2020-Q1,140.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2020-Q2,142.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2020-Q3,142.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2020-Q4,142.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,"1327023: 1211 Soft drink, cordial and syrup manufacturing",OUTPUT: Output,Q: Quarterly,2021-Q1,144,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2008-Q1,94.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2008-Q2,91.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2008-Q3,92,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2008-Q4,93.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2009-Q1,93.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2009-Q2,93.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2009-Q3,93.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2009-Q4,94.3,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2010-Q1,94.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2010-Q2,95.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2010-Q3,106.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2010-Q4,103.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2011-Q1,103.3,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2011-Q2,99.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2011-Q3,99,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2011-Q4,100.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2012-Q1,101.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2012-Q2,99.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2012-Q3,94.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2012-Q4,92.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2013-Q1,93.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2013-Q2,93.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2013-Q3,96.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2013-Q4,99.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2014-Q1,99.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2014-Q2,100.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2014-Q3,103.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2014-Q4,104.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2015-Q1,105.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2015-Q2,104.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2015-Q3,106.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2015-Q4,106.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2016-Q1,104.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2016-Q2,103.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2016-Q3,105.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2016-Q4,105.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2017-Q1,106.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2017-Q2,104.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2017-Q3,103.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2017-Q4,102.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2018-Q1,99.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2018-Q2,100.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2018-Q3,101.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2018-Q4,102.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2019-Q1,103.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2019-Q2,105.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2019-Q3,104.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2019-Q4,105.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2020-Q1,107.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2020-Q2,106.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2020-Q3,101.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2020-Q4,102,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1437263: 2499 Other machinery and equipment manufacturing n.e.c.,OUTPUT: Output,Q: Quarterly,2021-Q1,101.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2008-Q1,142.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2008-Q2,145.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2008-Q3,152.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2008-Q4,156.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2009-Q1,147.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2009-Q2,147.4,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2009-Q3,146.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2009-Q4,141.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2010-Q1,131.3,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2010-Q2,112.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2010-Q3,111.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2010-Q4,102.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2011-Q1,99.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2011-Q2,104.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2011-Q3,102.3,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2011-Q4,99.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2012-Q1,99.6,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2012-Q2,98.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2012-Q3,98.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2012-Q4,94.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2013-Q1,95.9,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2013-Q2,94.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2013-Q3,95.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2013-Q4,98.3,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2014-Q1,100.3,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2014-Q2,100,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2014-Q3,103.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2014-Q4,104.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2015-Q1,99.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2015-Q2,97.1,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2015-Q3,98,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2015-Q4,101.8,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2016-Q1,101.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2016-Q2,95.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2016-Q3,100.5,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2016-Q4,105.2,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2017-Q1,108.7,IN: Index Numbers,,,,1: One
ABS:PPI(1.0.0),1: Index Number,1407182: 2122 Steel pipe and tube manufacturing,OUTPUT: Output,Q: Quarterly,2017-Q2,106.2,IN: Index Numbers,,,,1: One
