DATAFLOW,MEASURE: Measure,PROPERTY_TYPE: Property type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2012-Q4,101.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2013-Q1,103,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2013-Q2,103.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2013-Q3,103.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2013-Q4,105.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2014-Q1,107.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2014-Q2,108.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2014-Q3,109.4,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2014-Q4,108.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2015-Q1,109.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2015-Q2,110.1,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2015-Q3,110.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2015-Q4,110.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2016-Q1,111.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2016-Q2,112.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2016-Q3,112,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2016-Q4,110.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2017-Q1,111.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2017-Q2,111.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2017-Q3,111.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2017-Q4,110.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2018-Q1,110.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2018-Q2,111,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2018-Q3,110.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2018-Q4,109.3,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2019-Q1,107.6,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2019-Q2,107.5,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2019-Q3,107.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2019-Q4,108.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q1,107.7,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q2,106.8,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q3,108.2,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q4,109.9,IN: Index Numbers,,
ABS:RPPI(1.0.0),1: Index Numbers,1: Attached dwellings,3GBRI: Greater Brisbane,Q: Quarterly,2021-Q1,112,IN: Index Numbers,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2008-Q1,1.6,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2008-Q2,-0.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2008-Q3,-3.4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2008-Q4,-1.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2009-Q1,-0.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2009-Q2,5.9,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2009-Q3,6.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2009-Q4,6.6,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2010-Q1,5.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2010-Q2,2.9,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2010-Q3,-1.8,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2010-Q4,1.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2011-Q1,-1.4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2011-Q2,-1.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2011-Q3,-2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2011-Q4,-1.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2012-Q1,-1.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2012-Q2,0.3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2012-Q3,-1.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2012-Q4,1.9,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2013-Q1,0.4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2013-Q2,2.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2013-Q3,3.4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2013-Q4,3.8,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2014-Q1,1.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2014-Q2,1.4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2014-Q3,1.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2014-Q4,2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2015-Q1,1.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2015-Q2,4.7,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2015-Q3,3.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2015-Q4,1.8,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2016-Q1,1.4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2016-Q2,3.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2016-Q3,2.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2016-Q4,6,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2017-Q1,4.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2017-Q2,3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2017-Q3,1.6,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2017-Q4,2.6,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2018-Q1,-0.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2018-Q2,-1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2018-Q3,-3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2018-Q4,-3.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2019-Q1,-3.7,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2019-Q2,-1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2019-Q3,3.7,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2019-Q4,5.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2020-Q1,2.3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2020-Q2,-2.8,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2020-Q3,-0.3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2020-Q4,3.7,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,2: Established houses,2GMEL: Greater Melbourne,Q: Quarterly,2021-Q1,6,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2008-Q1,-2.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2008-Q2,4.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2008-Q3,0,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2008-Q4,-1.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2009-Q1,1.3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2009-Q2,0.8,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2009-Q3,4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2009-Q4,3.7,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2010-Q1,-0.8,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2010-Q2,-0.7,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2010-Q3,-1.4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2010-Q4,0.8,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2011-Q1,-0.9,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2011-Q2,0.7,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2011-Q3,-1.9,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2011-Q4,0.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2012-Q1,0,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2012-Q2,-0.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2012-Q3,-2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2012-Q4,3.4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2013-Q1,-0.7,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2013-Q2,0.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2013-Q3,-0.9,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2013-Q4,2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2014-Q1,-1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2014-Q2,0.8,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2014-Q3,-0.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2014-Q4,-0.3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2015-Q1,0.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2015-Q2,-0.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2015-Q3,1.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2015-Q4,2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2016-Q1,2.3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2016-Q2,1.3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2016-Q3,2.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2016-Q4,5.4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2017-Q1,5.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2017-Q2,0.6,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2017-Q3,5.9,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2017-Q4,3.9,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2018-Q1,0.6,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2018-Q2,4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2018-Q3,3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2018-Q4,3.3,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2019-Q1,-1.2,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2019-Q2,0.9,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2019-Q3,0.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2019-Q4,3.5,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2020-Q1,2.4,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2020-Q2,-0.4,PCT: Percent,,"imputed
"
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2020-Q3,0.9,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2020-Q4,3.1,PCT: Percent,,
ABS:RPPI(1.0.0),2: Percentage Change from Previous Period,1: Attached dwellings,6GHOB: Greater Hobart,Q: Quarterly,2021-Q1,4.9,PCT: Percent,,
ABS:RPPI(1.0.0),3: Percentage Change from Corresponding Quarter of the Previous Year,1: Attached dwellings,2GMEL: Greater Melbourne,Q: Quarterly,2008-Q1,12.9,PCT: Percent,,
ABS:RPPI(1.0.0),3: Percentage Change from Corresponding Quarter of the Previous Year,1: Attached dwellings,2GMEL: Greater Melbourne,Q: Quarterly,2008-Q2,5.6,PCT: Percent,,
ABS:RPPI(1.0.0),3: Percentage Change from Corresponding Quarter of the Previous Year,1: Attached dwellings,2GMEL: Greater Melbourne,Q: Quarterly,2008-Q3,1,PCT: Percent,,
ABS:RPPI(1.0.0),3: Percentage Change from Corresponding Quarter of the Previous Year,1: Attached dwellings,2GMEL: Greater Melbourne,Q: Quarterly,2008-Q4,-3,PCT: Percent,,
ABS:RPPI(1.0.0),3: Percentage Change from Corresponding Quarter of the Previous Year,1: Attached dwellings,2GMEL: Greater Melbourne,Q: Quarterly,2009-Q1,0.5,PCT: Percent,,
ABS:RPPI(1.0.0),3: Percentage Change from Corresponding Quarter of the Previous Year,1: Attached dwellings,2GMEL: Greater Melbourne,Q: Quarterly,2009-Q2,4.9,PCT: Percent,,
