DATAFLOW,MEASURE: Measure,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2012-Q1,9341,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2012-Q2,7755,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2012-Q3,9941,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2012-Q4,8806,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2013-Q1,8835,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2013-Q2,9303,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2013-Q3,9830,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2013-Q4,10332,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2014-Q1,9890,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2014-Q2,8732,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2014-Q3,9528,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2014-Q4,9246,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2015-Q1,9421,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2015-Q2,9420,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2015-Q3,9968,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2015-Q4,8826,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2016-Q1,8786,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2016-Q2,8869,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2016-Q3,9136,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2016-Q4,9204,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2017-Q1,9025,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2017-Q2,8303,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2017-Q3,8916,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2017-Q4,9008,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2018-Q1,8770,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2018-Q2,8554,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2018-Q3,8651,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2018-Q4,8201,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2019-Q1,7739,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2019-Q2,7731,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2019-Q3,9405,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2019-Q4,9111,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2020-Q1,8427,NUM: Number,0: Units,r: revised,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2020-Q2,7960,NUM: Number,0: Units,r: revised,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2020-Q3,12531,NUM: Number,0: Units,r: revised,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2020-Q4,13686,NUM: Number,0: Units,r: revised,
ABS:RES_DWELL(1.0.0),1: Number of Established House Transfers,3RQLD: Rest of Qld,Q: Quarterly,2021-Q1,15099,NUM: Number,0: Units,r: revised,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2008-Q1,2691,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2008-Q2,2198,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2008-Q3,2450,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2008-Q4,2463,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2009-Q1,3162,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2009-Q2,3246,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2009-Q3,3820,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2009-Q4,3206,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2010-Q1,2960,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2010-Q2,2823,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2010-Q3,2618,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2010-Q4,2348,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2011-Q1,2039,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2011-Q2,2064,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2011-Q3,2397,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2011-Q4,2619,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2012-Q1,2858,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2012-Q2,2684,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2012-Q3,3008,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2012-Q4,2897,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2013-Q1,2888,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2013-Q2,3296,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2013-Q3,3583,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2013-Q4,3647,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2014-Q1,4557,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2014-Q2,4788,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2014-Q3,4979,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2014-Q4,4576,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2015-Q1,4537,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2015-Q2,5159,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2015-Q3,5201,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2015-Q4,4358,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2016-Q1,3801,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2016-Q2,3584,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2016-Q3,3480,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2016-Q4,3088,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2017-Q1,3133,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2017-Q2,2846,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2017-Q3,2746,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2017-Q4,2607,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2018-Q1,2604,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2018-Q2,2760,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2018-Q3,2648,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2018-Q4,2455,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2019-Q1,2346,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2019-Q2,2265,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2019-Q3,2755,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2019-Q4,2796,NUM: Number,0: Units,,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q1,2830,NUM: Number,0: Units,r: revised,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q2,2097,NUM: Number,0: Units,r: revised,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q3,3151,NUM: Number,0: Units,r: revised,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2020-Q4,3735,NUM: Number,0: Units,r: revised,
ABS:RES_DWELL(1.0.0),2: Number of Attached Dwelling Transfers,3GBRI: Greater Brisbane,Q: Quarterly,2021-Q1,4470,NUM: Number,0: Units,r: revised,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2008-Q1,308,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2008-Q2,305,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2008-Q3,297.5,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2008-Q4,290,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2009-Q1,300,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2009-Q2,300,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2009-Q3,310,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2009-Q4,340,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2010-Q1,340,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2010-Q2,340,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2010-Q3,340,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2010-Q4,340,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2011-Q1,345,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2011-Q2,342,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2011-Q3,335,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2011-Q4,330,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2012-Q1,345,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2012-Q2,346,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2012-Q3,335,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2012-Q4,360,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2013-Q1,357.5,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2013-Q2,355,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2013-Q3,350,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2013-Q4,370,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2014-Q1,362,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2014-Q2,368,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2014-Q3,368.6,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2014-Q4,380,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2015-Q1,390,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2015-Q2,395,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2015-Q3,410,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2015-Q4,412,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2016-Q1,415,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2016-Q2,425,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2016-Q3,430.5,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2016-Q4,445,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2017-Q1,455,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2017-Q2,460,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2017-Q3,460,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2017-Q4,471.5,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2018-Q1,480,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2018-Q2,480,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2018-Q3,475,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2018-Q4,464.8,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2019-Q1,462,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2019-Q2,470,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2019-Q3,475,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2019-Q4,500,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2020-Q1,490,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2020-Q2,490,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2020-Q3,510,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2020-Q4,551,AUD: Australian Dollars,3: Thousands,r: revised,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,1RNSW: Rest of NSW,Q: Quarterly,2021-Q1,620,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,7GDAR: Greater Darwin,Q: Quarterly,2008-Q1,420,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,7GDAR: Greater Darwin,Q: Quarterly,2008-Q2,422.3,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,7GDAR: Greater Darwin,Q: Quarterly,2008-Q3,430,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,7GDAR: Greater Darwin,Q: Quarterly,2008-Q4,445,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,7GDAR: Greater Darwin,Q: Quarterly,2009-Q1,455,AUD: Australian Dollars,3: Thousands,,
ABS:RES_DWELL(1.0.0),3: Median Price of Established House Transfers,7GDAR: Greater Darwin,Q: Quarterly,2009-Q2,465,AUD: Australian Dollars,3: Thousands,,
